SampleID,TaxaID,N_Taxa,INDEX_CLASS,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,FFG,TOLVAL,HABIT,NONTARGET
010146-8/16/23,Leptoceridae,4,WetWide,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
010146-8/16/23,Limnephilidae,1,WetWide,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010146-8/16/23,Mesoveliidae,4,WetWide,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
010146-8/16/23,Molannidae,2,WetWide,Arthropoda,,Insecta,,Trichoptera,Molannidae,SC,5.2,SP,FALSE
010146-8/16/23,Oligochaeta,3,WetWide,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
010146-8/16/23,Phryganeidae,1,WetWide,Arthropoda,,Insecta,,Trichoptera,Phryganeidae,SH,4.5,CB;CN,FALSE
010146-8/16/23,Physidae,23,WetWide,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010146-8/16/23,Pisidiidae,9,WetWide,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
010146-8/16/23,Planorbidae,1,WetWide,Mollusca,,Gastropoda,,Basommatophora,Planorbidae,SC,6.5,CB,FALSE
010146-8/16/23,Polycentropodidae,1,WetWide,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010146-8/16/23,Sialidae,28,WetWide,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010146-8/16/23,Tabanidae,3,WetWide,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010147-8/16/23,Aeshnidae,4,Narrow,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
010147-8/16/23,Amphipoda,30,Narrow,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
010147-8/16/23,Ancylidae,5,Narrow,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010147-8/16/23,Athericidae,6,Narrow,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
010147-8/16/23,Baetidae,4,Narrow,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010147-8/16/23,Calopterygidae,2,Narrow,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010147-8/16/23,Ceratopogonidae,3,Narrow,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,PR,6.3,BU;SP,FALSE
010147-8/16/23,Chironomidae,39,Narrow,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010147-8/16/23,Cordulegastridae,4,Narrow,Arthropoda,,Insecta,,Odonata,Cordulegastridae,PR,2.9,BU,FALSE
010147-8/16/23,Corydalidae,3,Narrow,Arthropoda,,Insecta,,Megaloptera,Corydalidae,PR,4.9,CN,FALSE
010147-8/16/23,Elmidae,23,Narrow,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010147-8/16/23,Gerridae,1,Narrow,Arthropoda,,Insecta,,Hemiptera,Gerridae,PR,5.7,SK,FALSE
010147-8/16/23,Glossosomatidae,1,Narrow,Arthropoda,,Insecta,,Trichoptera,Glossosomatidae,SC,0.6,CN,FALSE
010147-8/16/23,Heptageniidae,11,Narrow,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010147-8/16/23,Hydracarina,2,Narrow,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010147-8/16/23,Hydrophilidae,4,Narrow,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,PR,5.4,BU;SW,FALSE
010147-8/16/23,Hydropsychidae,41,Narrow,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
010147-8/16/23,Leptoceridae,8,Narrow,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
010147-8/16/23,Limnephilidae,2,Narrow,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010147-8/16/23,Mesoveliidae,4,Narrow,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
010147-8/16/23,Molannidae,1,Narrow,Arthropoda,,Insecta,,Trichoptera,Molannidae,SC,5.2,SP,FALSE
010147-8/16/23,Philopotamidae,1,Narrow,Arthropoda,,Insecta,,Trichoptera,Philopotamidae,CF,1.4,CN,FALSE
010147-8/16/23,Physidae,25,Narrow,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010147-8/16/23,Pisidiidae,18,Narrow,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
010147-8/16/23,Polycentropodidae,2,Narrow,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010147-8/16/23,Sialidae,15,Narrow,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010147-8/16/23,Simuliidae,5,Narrow,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
010147-8/16/23,Tabanidae,8,Narrow,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010147-8/16/23,Tipulidae,3,Narrow,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
010147-8/16/23,Uenoidae,1,Narrow,Arthropoda,,Insecta,,Trichoptera,Uenoidae,SC,1.5,CN,FALSE
010147-8/16/23,Unionidae,1,Narrow,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
030602-9/13/23,Amphipoda,7,East,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
030602-9/13/23,Ancylidae,29,East,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
030602-9/13/23,Baetidae,16,East,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
030602-9/13/23,Calopterygidae,12,East,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
030602-9/13/23,Chironomidae,40,East,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
030602-9/13/23,Coenagrionidae,1,East,Arthropoda,,Insecta,,Odonata,Coenagrionidae,PR,8.1,CB;SP,FALSE
030602-9/13/23,Corixidae,13,East,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
030602-9/13/23,Decapoda,3,East,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
030602-9/13/23,Dryopidae,1,East,Arthropoda,,Insecta,,Coleoptera,Dryopidae,SC,4.9,CB;CN,FALSE
030602-9/13/23,Elmidae,39,East,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
030602-9/13/23,Haliplidae,1,East,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
030602-9/13/23,Heptageniidae,4,East,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
030602-9/13/23,Hirudinea,10,East,Annelida,,Hirudinea,Hirudinea,,,PR,NA,SP,FALSE
030602-9/13/23,Hydracarina,2,East,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
030602-9/13/23,Hydropsychidae,10,East,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
030602-9/13/23,Isopoda,6,East,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
030602-9/13/23,Leptoceridae,1,East,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
030602-9/13/23,Oligochaeta,5,East,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
030602-9/13/23,Physidae,2,East,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
030602-9/13/23,Pisidiidae,58,East,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
030602-9/13/23,Simuliidae,6,East,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
030602-9/13/23,Tipulidae,1,East,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
030602-9/13/23,Unionidae,1,East,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
030602-9/13/23,Veliidae,1,East,Arthropoda,,Insecta,,Hemiptera,Veliidae,PR,6.3,SK,FALSE
030602-9/13/23,Viviparidae,14,East,Mollusca,,Gastropoda,,Architaenioglossa,Viviparidae,SC,4.3,CB,FALSE
030673-9/27/23,Amphipoda,84,VeryNarrow,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
030673-9/27/23,Ancylidae,1,VeryNarrow,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
030673-9/27/23,Athericidae,1,VeryNarrow,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
030673-9/27/23,Baetidae,27,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
030673-9/27/23,Brachycentridae,9,VeryNarrow,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
030673-9/27/23,Calopterygidae,6,VeryNarrow,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
030673-9/27/23,Chironomidae,8,VeryNarrow,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
030673-9/27/23,Coenagrionidae,2,VeryNarrow,Arthropoda,,Insecta,,Odonata,Coenagrionidae,PR,8.1,CB;SP,FALSE
030673-9/27/23,Corixidae,22,VeryNarrow,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
030673-9/27/23,Decapoda,3,VeryNarrow,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
030673-9/27/23,Elmidae,7,VeryNarrow,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
030673-9/27/23,Haliplidae,1,VeryNarrow,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
030673-9/27/23,Heptageniidae,16,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
030673-9/27/23,Hydropsychidae,6,VeryNarrow,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
030673-9/27/23,Isonychiidae,1,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Isonychiidae,CF,2.8,SW,FALSE
030673-9/27/23,Isopoda,18,VeryNarrow,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
030673-9/27/23,Leptophlebiidae,12,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Leptophlebiidae,CG,2.3,CN;SW,FALSE
030673-9/27/23,Oligochaeta,10,VeryNarrow,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
030673-9/27/23,Perlidae,1,VeryNarrow,Arthropoda,,Insecta,,Plecoptera,Perlidae,PR,1.8,CN,FALSE
030673-9/27/23,Phryganeidae,1,VeryNarrow,Arthropoda,,Insecta,,Trichoptera,Phryganeidae,SH,4.5,CB;CN,FALSE
030673-9/27/23,Physidae,1,VeryNarrow,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
030673-9/27/23,Pisidiidae,1,VeryNarrow,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
030673-9/27/23,Polycentropodidae,2,VeryNarrow,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
030673-9/27/23,Psychomyiidae,2,VeryNarrow,Arthropoda,,Insecta,,Trichoptera,Psychomyiidae,SC,2.5,CN,FALSE
030673-9/27/23,Simuliidae,16,VeryNarrow,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
030673-9/27/23,Tipulidae,4,VeryNarrow,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
030673-9/27/23,Viviparidae,1,VeryNarrow,Mollusca,,Gastropoda,,Architaenioglossa,Viviparidae,SC,4.3,CB,FALSE
030769-8/25/23,Aeshnidae,1,WetWide,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
030769-8/25/23,Amphipoda,48,WetWide,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
030769-8/25/23,Baetidae,11,WetWide,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
030769-8/25/23,Belostomatidae,1,WetWide,Arthropoda,,Insecta,,Hemiptera,Belostomatidae,PR,9.9,CB;SW,FALSE
030769-8/25/23,Ceratopogonidae,2,WetWide,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,PR,6.3,BU;SP,FALSE
030769-8/25/23,Chironomidae,53,WetWide,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
030769-8/25/23,Coenagrionidae,1,WetWide,Arthropoda,,Insecta,,Odonata,Coenagrionidae,PR,8.1,CB;SP,FALSE
030769-8/25/23,Corixidae,1,WetWide,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
030769-8/25/23,Dytiscidae,1,WetWide,Arthropoda,,Insecta,,Coleoptera,Dytiscidae,PR,6.2,BU;SW,FALSE
030769-8/25/23,Gerridae,2,WetWide,Arthropoda,,Insecta,,Hemiptera,Gerridae,PR,5.7,SK,FALSE
030769-8/25/23,Haliplidae,1,WetWide,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
030769-8/25/23,Hydracarina,3,WetWide,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
030769-8/25/23,Hydrophilidae,2,WetWide,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,PR,5.4,BU;SW,FALSE
030769-8/25/23,Isopoda,4,WetWide,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
030769-8/25/23,Mesoveliidae,1,WetWide,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
030769-8/25/23,Nepidae,1,WetWide,Arthropoda,,Insecta,,Hemiptera,Nepidae,PR,7.4,CB;CN,FALSE
030769-8/25/23,Oligochaeta,211,WetWide,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
030769-8/25/23,Physidae,11,WetWide,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
030769-8/25/23,Tipulidae,2,WetWide,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
030769-8/25/23,Turbellaria,2,WetWide,Platyhelminthes,,Turbellaria,,,,CG,NA,,FALSE
050176-8/3/23,Amphipoda,5,VeryNarrow,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
050176-8/3/23,Athericidae,1,VeryNarrow,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
050176-8/3/23,Baetidae,5,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
050176-8/3/23,Baetiscidae,1,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Baetiscidae,CG,3.3,BU;CN;SP,FALSE
050176-8/3/23,Brachycentridae,51,VeryNarrow,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
050176-8/3/23,Chironomidae,149,VeryNarrow,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
050176-8/3/23,Corixidae,7,VeryNarrow,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
050176-8/3/23,Ephemerellidae,4,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Ephemerellidae,SC,2.2,CN,FALSE
050176-8/3/23,Haliplidae,1,VeryNarrow,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
050176-8/3/23,Hydracarina,9,VeryNarrow,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
050176-8/3/23,Isopoda,9,VeryNarrow,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
050176-8/3/23,Leptophlebiidae,2,VeryNarrow,Arthropoda,,Insecta,,Ephemeroptera,Leptophlebiidae,CG,2.3,CN;SW,FALSE
050176-8/3/23,Limnephilidae,1,VeryNarrow,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
050176-8/3/23,Oligochaeta,7,VeryNarrow,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
050176-8/3/23,Physidae,2,VeryNarrow,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
050176-8/3/23,Planorbidae,1,VeryNarrow,Mollusca,,Gastropoda,,Basommatophora,Planorbidae,SC,6.5,CB,FALSE
050176-8/3/23,Simuliidae,3,VeryNarrow,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
050176-8/3/23,Tabanidae,4,VeryNarrow,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
050176-8/3/23,Tipulidae,1,VeryNarrow,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
050176-8/3/23,Turbellaria,1,VeryNarrow,Platyhelminthes,,Turbellaria,,,,CG,NA,,FALSE
050181-9/21/23,Amphipoda,42,WestFlat,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
050181-9/21/23,Baetidae,42,WestFlat,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
050181-9/21/23,Brachycentridae,1,WestFlat,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
