MonitoringLocationIdentifier,State,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure
USGS-06096000,Montana,"Birch Creek below B Canal, near Dupuyer, MT",Stream,48.2494444,-112.62725
USGS-06098100,Montana,Birch Creek near Valier MT,Stream,48.3582444,-112.3383333
USGS-06098120,Montana,"Birch Creek at Bullhead Bridge, nr Valier, MT",Stream,48.39110278,-112.319661
USGS-06110020,Montana,Judith River above Carr Creek near Utica MT,Stream,46.9177222,-110.1889444
USGS-06142400,Montana,Clear Creek near Chinook MT,Stream,48.5788694,-109.3911306
USGS-06190540,Wyoming,"Boiling River at Mammoth,YNP",Stream,44.9851333,-110.6893444
USGS-06191000,Montana,"Gardner River near Mammoth, YNP",Stream,44.9923444,-110.690975
USGS-06191820,Montana,Big Cr at Kendall Bridge nr Emigrant MT,Stream,45.3057681,-110.848273
USGS-06192980,Montana,"Shields River ab Smith Cr, nr Wilsall, MT",Stream,46.1671611,-110.5542861
USGS-06306300,Montana,Tongue River at State Line nr Decker MT,Stream,45.0091361,-106.8359444
USGS-06307500,Montana,Tongue River at Tongue R Dam nr Decker MT,Stream,45.141275,-106.7713556
USGS-06324500,Montana,Powder River at Moorhead MT,Stream,45.0571972,-105.8783778
USGS-06329500,Montana,Yellowstone River near Sidney MT,Stream,47.67741389,-104.1554111
USGS-12300110,Montana,Lake Koocanusa at international boundary,Lake,48.98963056,-115.1809694
USGS-12301250,Montana,"Tobacco River at Eureka, MT",Stream,48.8779472,-115.054461
USGS-12301600,Montana,Lake Koocanusa bl Pinkham Cr nr Rexford MT,Lake,48.8269061,-115.2671173
USGS-12301830,Montana,Lake Koocanusa at Tenmile Cr nr Libby MT,Lake,48.58495918,-115.2321101
USGS-12301919,Montana,"Lake Koocanusa at forebay, nr Libby, MT",Lake,48.4140833,-115.3083056
USGS-12301933,Montana,Kootenai River bl Libby Dam nr Libby MT,Stream,48.40066389,-115.3187194
USGS-12302055,Montana,Fisher River near Libby MT,Stream,48.35560278,-115.31465
USGS-12303500,Montana,Lake Creek at Troy MT,Stream,48.4468611,-115.877136
USGS-12304500,Montana,Yaak River near Troy MT,Stream,48.5617222,-115.9701583
USGS-12323230,Montana,Blacktail C at Harrison Avenue at Butte MT,Stream,45.98520426,-112.5080764
USGS-12323233,Montana,"Blacktail Creek above Grove Gulch, at Butte, MT",Stream,45.9912694,-112.5273583
USGS-12323242,Montana,"Silver Bow Creek at Montana Street, at Butte, MT",Stream,45.99572778,-112.538761
USGS-12323250,Montana,"Silver Bow Cr bl Blacktail Cr, at Butte, MT",Stream,45.996575,-112.5634889
USGS-12323600,Montana,Silver Bow Creek at Opportunity MT,Stream,46.1077583,-112.8052833
USGS-12323670,Montana,"Mill Creek nr Anaconda, MT",Stream,46.0829722,-112.9171889
USGS-12323700,Montana,"Mill Creek at Opportunity, MT",Stream,46.11437778,-112.819775
USGS-12323710,Montana,"Willow Creek nr Anaconda, MT",Stream,46.0645111,-112.8935306
USGS-12323720,Montana,"Willow Creek at Opportunity, MT",Stream,46.10716389,-112.810611
USGS-12323750,Montana,Silver Bow Creek at Warm Springs MT,Stream,46.1794972,-112.780561
USGS-12323760,Montana,Warm Springs Creek near Anaconda MT,Stream,46.13366667,-112.9031528
USGS-12323770,Montana,Warm Springs Creek at Warm Springs MT,Stream,46.180375,-112.7850778
USGS-12323800,Montana,Clark Fork near Galen MT,Stream,46.20824167,-112.76735
USGS-12323840,Montana,Lost Creek near Anaconda MT,Stream,46.161325,-112.8937972
USGS-12323850,Montana,"Lost Creek near Galen, MT",Stream,46.2185722,-112.7741667
USGS-12324200,Montana,Clark Fork at Deer Lodge MT,Stream,46.39765,-112.7425389
USGS-12324400,Montana,Clark Fork ab Little Blackfoot R nr Garrison MT,Stream,46.5109111,-112.789686
USGS-12324680,Montana,Clark Fork at Goldcreek MT,Stream,46.58998889,-112.9287139
USGS-12331800,Montana,Clark Fork near Drummond MT,Stream,46.71191389,-113.3307806
USGS-12334550,Montana,Clark Fork at Turah Bridge nr Bonner MT,Stream,46.8259111,-113.8140306
USGS-12337900,Montana,North Fork Blackfoot River Bel Lake Cr nr Ovando,Stream,47.1032741,-112.9603279
USGS-12340000,Montana,Blackfoot River near Bonner MT,Stream,46.8994111,-113.7563194
USGS-12340500,Montana,Clark Fork above Missoula MT,Stream,46.87676389,-113.9321194
USGS-450104108151501,Montana,"Bighorn Lake above Devil Canyon, near Warren, MT",Lake,45.01777778,-108.2541667
USGS-450112108135801,Montana,"Bighorn Lake in Devil Canyon, near Warren, MT",Lake,45.02,-108.2327778
USGS-450248108140501,Montana,"Bighorn Lake below Booz Canyon, near Warren, MT",Lake,45.04666667,-108.2347222
USGS-450311108133601,Montana,"Bighorn Lake above Layout Creek, near Warren, MT",Lake,45.05305556,-108.2266667
USGS-450416108140101,Montana,"Bighorn Lake at Layout Creek mouth, nr Warren, MT",Lake,45.0711111,-108.2336111
USGS-450538108125501,Montana,"Bighorn Lake at Barrys Landing, near Warren, MT",Lake,45.09388889,-108.2152778
USGS-450629108111401,Montana,"Bighorn Lk at Twentymile Cyn mouth, nr Ft Smith MT",Lake,45.10805556,-108.1872222
USGS-450903108101001,Montana,"Bighorn Lake below Deadman Creek, nr Ft Smith, MT",Lake,45.1508333,-108.1694444
USGS-451007108090601,Montana,"Bighorn Lake bl Templeton Creek, nr Ft Smith, MT",Lake,45.1686111,-108.1516667
USGS-451248108074201,Montana,"Bighorn Lake bl Dry Head Canyon, nr Ft Smith, MT",Lake,45.2133333,-108.1283333
USGS-451310108062301,Montana,"Bighorn Lake ab Big Bull Elk Cyn, nr Ft Smith, MT",Lake,45.2194444,-108.1063889
USGS-451407108044001,Montana,"Bighorn Lk at Big Bull Elk Cyn mouth, nr Ft Smith",Lake,45.23527778,-108.0777778
USGS-451519108035001,Montana,"Bighorn Lake bl Big Bull Elk Cyn, nr Ft Smith, MT",Lake,45.25527778,-108.0638889
USGS-451529107582201,Montana,"Bighorn Lk 2.5mi up Black Canyon, nr Ft Smith, MT",Lake,45.25805556,-107.9727778
USGS-451536108012801,Montana,"Bighorn Lake above Corral Creek, near Ft Smith, MT",Lake,45.26,-108.0244444
USGS-451553107584801,Montana,"Bighorn Lk 1.5mi up Black Cyn, nr Ft Smith BL-19",Lake,45.26477778,-107.9799167
USGS-451640108001801,Montana,"Bighorn Lake bl Black Canyon, nr Ft Smith, MT",Lake,45.27777778,-108.005
USGS-451803107575201,Montana,"Bighorn Lake bl Box Canyon, nr Fort Smith, MT BL-2",Lake,45.3008611,-107.9645278
USGS-461013110215601,Montana,"Clear Creek at FR 844, nr Wilsall, MT",Stream,46.1703972,-110.3655917
USGS-461053110213301,Montana,"Lodgepole Cr at mouth, nr Wilsall, MT",Stream,46.1813611,-110.3592778
USGS-461105110230401,Montana,"Buck Creek at mouth, nr Wilsall, MT",Stream,46.18391667,-110.3845
USGS-463023112153701,Montana,Minnehaha Cr ab City Diversion nr Rimini MT,Stream,46.50632097,-112.2611225
USGS-463138110580001,Montana,NF Smith R ab conf nr White Sulphur Springs,Stream,46.52708889,-110.9666306
USGS-463504111154601,Montana,"Mule Cr at FR 575, nr White Sulphur Springs, MT",Stream,46.58434167,-111.2626806
USGS-463605111120501,Montana,"Camas Cr bl Garden Cr nr White Sulphur Springs, MT",Stream,46.6014194,-111.2012667
USGS-464033111083501,Montana,"Smith River at Fort Logan, MT",Stream,46.67577878,-111.1438378
USGS-464506111095801,Montana,"Whitetail Deer Cr at mouth, nr Ft Logan, MT",Stream,46.75163889,-111.1660278
USGS-464508111100301,Montana,"Smith R ab Whitetail Deer Cr, nr Ft Logan, MT",Stream,46.75230556,-111.1675278
USGS-464753110542301,Montana,"Sheep Cr ab Moose Cr, nr White Sulphur Springs, MT",Stream,46.79805556,-110.9063889
USGS-480954112520101,Montana,"Canal at Pondera Park, near Heart Butte, MT",Stream,48.16502778,-112.867
USGS-481020112494501,Montana,"Fish Creek near mouth, near Heart Butte, MT",Stream,48.1723611,-112.82925
USGS-481034112510101,Montana,"Birch Ck below Eagle Creek, nr Heart Butte, MT",Stream,48.1762222,-112.8503056
USGS-481402112435401,Montana,"Birch Cr at Heart Butte Road, nr Heart Butte, MT",Stream,48.23377778,-112.73175
USGS-481430109563601,Montana,"Williamson Reservoir site WR01, near Box Elder, MT",Lake,48.24173889,-109.9433
USGS-481506112373201,Montana,"Birch Cr Main Canal at diversion, nr Dupuyer, MT",Stream,48.25175,-112.6254444
USGS-481538112372801,Montana,"Birch Cr Main Canal bl diversion, nr Dupuyer, MT",Stream,48.2606111,-112.6243333
USGS-481758109512401,Montana,"Boneau Reservoir site BR01, near Rocky Boy, MT",Lake,48.2993222,-109.8566361
USGS-481759109513201,Montana,"Boneau Reservoir site BR02, near Rocky Boy, MT",Lake,48.29962778,-109.8589917
USGS-481800109513901,Montana,"Boneau Reservoir site BR03, near Rocky Boy, MT",Lake,48.29994167,-109.8607139
USGS-481812112200601,Montana,"Dupuyer Creek at highway 44, near Valier, MT",Stream,48.30327778,-112.334861
USGS-481814112350301,Montana,"Birch Cr ab Kingsbury Canal, nr Dupuyer, MT",Stream,48.30377778,-112.584111
USGS-481819112345001,Montana,"Birch Cr bl Kingsbury Canal, nr Dupuyer, MT",Stream,48.30527778,-112.5804722
USGS-481855112233101,Montana,"Birch Creek at Kuka Road, near Valier, MT",Stream,48.31516667,-112.3918333
USGS-482049112291401,Montana,"Birch Creek at Stoltz Road, near Valier, MT",Stream,48.34705556,-112.4873333
USGS-482734115172401,Montana,"Lake Koocanusa nr Yarnell Island, nr Libby, MT",Lake,48.4593833,-115.2900972
USGS-483829115173601,Montana,"Lake Koocanusa ab Allen Gulch, nr Rexford, MT",Lake,48.6414472,-115.2933306
USGS-484619115180401,Montana,"Lake Koocanusa ab Sutton Cr, nr Rexford, MT",Lake,48.77193889,-115.3010167
USGS-485704115110301,Montana,"Lake Koocanusa bl Young Cr, nr Rexford, MT",Lake,48.9510583,-115.1842972
USGS-485944115095701,Montana,"Lake Koocanusa nr Gateway CG, nr Rexford, MT",Lake,48.99547778,-115.1657194
USGS-10020100,Wyoming,"BEAR RIVER ABOVE RESERVOIR, NEAR WOODRUFF, UT",Stream,41.4343899,-111.0176863
USGS-10020300,Wyoming,"BEAR RIVER BELOW RESERVOIR, NEAR WOODRUFF, UT",Stream,41.505501,-111.0146317
USGS-10028500,Wyoming,"BEAR RIVER BELOW PIXLEY DAM, NEAR COKEVILLE, WY",Stream,41.93795,-110.9868806
USGS-10032000,Wyoming,"SMITHS FORK NEAR BORDER, WY",Stream,42.2932662,-110.8724064
USGS-10038000,Wyoming,"BEAR RIVER BELOW SMITHS FORK, NR COKEVILLE, WY",Stream,42.12652778,-110.9731972
USGS-06236100,Wyoming,"WIND RIVER AB BOYSEN RESERVOIR, NR SHOSHONI, WY",Stream,43.1289722,-108.2248333
USGS-06253000,Wyoming,"FIVEMILE CREEK NEAR SHOSHONI, WY",Stream,43.22191667,-108.2196944
USGS-06258000,Wyoming,"MUDDY CREEK NEAR SHOSHONI, WY",Stream,43.2860692,-108.2756554
USGS-06259000,Wyoming,"WIND RIVER BELOW BOYSEN RESERVOIR, WY",Stream,43.4249575,-108.1789858
USGS-06268600,Wyoming,"BIGHORN RIVER AT WORLAND, WY",Stream,44.01467908,-107.9695392
USGS-06274300,Wyoming,"BIGHORN RIVER AT BASIN, WY",Stream,44.3832907,-108.0362117
USGS-06277500,Wyoming,"GREYBULL RIVER NEAR BASIN, WY",Stream,44.40662308,-108.1867719
USGS-06279500,Wyoming,"BIGHORN RIVER AT KANE, WY",Stream,44.75856618,-108.1814972
USGS-06283995,Wyoming,"Shoshone River ab Willwood Dam, nr Ralston, WY",Stream,44.66121667,-108.9275278
USGS-06284010,Wyoming,"Shoshone River bl Willwood Dam, nr Ralston, WY",Stream,44.6717583,-108.9153944
USGS-06285100,Wyoming,"SHOSHONE RIVER NEAR LOVELL, WY",Stream,44.8385638,-108.4351186
USGS-06299980,Wyoming,"TONGUE RIVER AT MONARCH, WY",Stream,44.9002493,-107.020905
USGS-06306000,Wyoming,"Tongue River near Acme, WY",Stream,44.9446111,-106.942275
USGS-06306020,Wyoming,"Tongue River below Youngs Creek, near Acme, WY",Stream,44.99025118,-106.8917355
USGS-06313400,Wyoming,"SALT CREEK NEAR SUSSEX, WY",Stream,43.62191829,-106.3683639
USGS-06317000,Wyoming,"POWDER RIVER AT ARVADA, WY",Stream,44.64998226,-106.1275278
USGS-06324902,Wyoming,"Little Powder R above Cow Creek, near Gillette, WY",Stream,44.5519722,-105.3946944
USGS-06324970,Wyoming,"LITTLE POWDER RIVER AB DRY CREEK, NEAR WESTON, WY",Stream,44.9269288,-105.3533268
USGS-06364705,Wyoming,"Antelope Creek below Beckwith Cr, near Teckla, WY",Stream,43.4534222,-105.1403694
USGS-06375495,Wyoming,"Little Thunder Cr bl School Cr, nr Wright, WY",Stream,43.67280556,-105.1652222
USGS-06375600,Wyoming,"LITTLE THUNDER CREEK NEAR HAMPSHIRE, WY",Stream,43.6547222,-104.9094444
USGS-06425900,Wyoming,"CABALLO CREEK AT MOUTH, NEAR PINEY, WY",Stream,44.07997827,-105.266931
USGS-06426500,Wyoming,"BELLE FOURCHE RIVER BELOW MOORCROFT, WY",Stream,44.32192645,-104.9405313
USGS-06627000,Wyoming,NORTH PLATTE RIVER AT SARATOGA WYO,Stream,41.45496216,-106.8050374
USGS-06630000,Wyoming,"N PLATTE RIV AB SEMINOE RESERVOIR, NR SINCLAIR, WY",Stream,41.87218127,-107.0575465
USGS-06635000,Wyoming,"MEDICINE BOW R AB SEMINOE RESERVOIR, NR HANNA, WY",Stream,42.0096844,-106.513083
USGS-06636000,Wyoming,NORTH PLATTE RIVER ABOVE PATHFINDER RESERVOIR WY,Stream,42.1782928,-106.876432
USGS-06637740,Wyoming,"SWEETWATER R AB ROCK CR, NR ATLANTIC CITY, WY",Stream,42.39329167,-108.6262194
USGS-06639000,Wyoming,"SWEETWATER RIVER NEAR ALCOVA, WY",Stream,42.48995905,-107.1339449
USGS-06641000,Wyoming,"NORTH PLATTE RIVER BELOW PATHFINDER RESERVOIR, WY",Stream,42.4649607,-106.8469896
USGS-06642000,Wyoming,"NORTH PLATTE RIVER AT ALCOVA, WY",Stream,42.57412897,-106.69254
USGS-06645000,Wyoming,"NORTH PLATTE RIVER BELOW CASPER, WY",Stream,42.85888889,-106.2113889
USGS-06660000,Wyoming,"LARAMIE RIVER AT LARAMIE, WY",Stream,41.32777778,-105.6074167
USGS-06670500,Wyoming,"LARAMIE RIVER NEAR FORT LARAMIE, WY",Stream,42.20052277,-104.5382908
USGS-06674500,Wyoming,NORTH PLATTE RIVER AT WYOMING-NEBRASKA STATE LINE,Stream,41.9885755,-104.0532823
USGS-06755960,Wyoming,"CROW CREEK AT 19TH STREET, AT CHEYENNE, WY",Stream,41.13109269,-104.8285796
USGS-09188500,Wyoming,"GREEN RIVER AT WARREN BRIDGE, NEAR DANIEL, WY",Stream,43.0190833,-110.1188611
USGS-09192600,Wyoming,"GREEN RIVER NEAR BIG PINEY, WY",Stream,42.57049915,-109.9501519
USGS-09196500,Wyoming,"PINE CREEK ABOVE FREMONT LAKE, WY",Stream,43.02705556,-109.7735278
USGS-09198000,Wyoming,"PINE CREEK AT PINEDALE, WY",Stream,42.8663324,-109.8682089
USGS-09205000,Wyoming,"NEW FORK RIVER NEAR BIG PINEY, WY",Stream,42.56716598,-109.930151
USGS-09209400,Wyoming,"GREEN RIVER NEAR LA BARGE, WY",Stream,42.19272157,-110.163214
USGS-09211200,Wyoming,"GREEN RIVER BELOW FONTENELLE RESERVOIR, WY",Stream,42.0209722,-110.0498056
USGS-09215550,Wyoming,"BIG SANDY RIVER BELOW FARSON, WY",Stream,42.0732887,-109.4792976
USGS-09216550,Wyoming,"DEADMAN WASH NEAR POINT OF ROCKS, WY",Stream,41.674625,-108.7387139
USGS-09216560,Wyoming,"BITTER CREEK NEAR POINT OF ROCKS, WY",Stream,41.6741111,-108.7773056
USGS-09217000,Wyoming,"GREEN RIVER NEAR GREEN RIVER, WY",Stream,41.51635366,-109.4490234
USGS-09217010,Wyoming,"GREEN RIVER BELOW GREEN RIVER, WY",Stream,41.496076,-109.4387455
USGS-09218500,Wyoming,"BLACKS FORK NEAR MILLBURNE, WY",Stream,41.03161367,-110.5793324
USGS-09219000,Wyoming,"BLACKS FORK NEAR URIE, WY",Stream,41.35078398,-110.33599
USGS-09219200,Wyoming,"Blacks Fork above Smiths Fork, near Lyman, WY",Stream,41.39415,-110.2059583
USGS-09258050,Wyoming,"Muddy Creek above Olson Draw, near Dad, WY",Stream,41.4783333,-107.6025
USGS-09258980,Wyoming,"MUDDY CREEK BELOW YOUNG DRAW, NEAR BAGGS, WY",Stream,41.06815856,-107.6315964
USGS-09259050,Wyoming,"Little Snake R bl Gibson Blair Ditch, nr Baggs, WY",Stream,41.0290111,-107.6837278
USGS-10016900,Wyoming,"BEAR RIVER AT EVANSTON, WY",Stream,41.2698611,-110.9636944
USGS-13015000,Wyoming,"GROS VENTRE RIVER AT ZENITH, WY",Stream,43.5572222,-110.7627778
USGS-13016450,Wyoming,"FISH CREEK AT WILSON, WY",Stream,43.50076005,-110.8716
USGS-13018250,Wyoming,"Flat Creek above Cache Creek, at Jackson, WY",Stream,43.4873833,-110.7632806
USGS-13018350,Wyoming,"FLAT CREEK BELOW CACHE CREEK, NEAR JACKSON, WY",Stream,43.4583611,-110.7970278
USGS-13018750,Wyoming,"SNAKE RIVER BELOW FLAT CREEK, NEAR JACKSON, WY",Stream,43.3722222,-110.7386111
USGS-13025500,Wyoming,"CROW CREEK NEAR FAIRVIEW, WY",Stream,42.6749287,-111.0077044
USGS-411805110233101,Wyoming,"Blacks Fork at County Rd 217, near Ft Bridger, WY",Stream,41.30135,-110.3920694
USGS-411805110233701,Wyoming,"Threemile Ck at County Rd 217, nr Ft Bridger, WY",Stream,41.30141944,-110.3937306
USGS-411926110240401,Wyoming,"Blacks Fork ab I-80 BL drain, near Ft Bridger, WY",Stream,41.32395278,-110.4011083
USGS-412140110175701,Wyoming,"Blacks Fork at Highway 413, near Lyman, WY",Stream,41.36115,-110.2991
USGS-422907108194101,Wyoming,"Sweetwater R ab Ladysmith Cr nr Sweetwater Sta, WY",Stream,42.48526667,-108.3280472
USGS-423110109025901,Wyoming,"Sweetwater R ab Clear Cr nr, South Pass City, WY",Stream,42.51949444,-109.0496306
USGS-425054108423401,Wyoming,"MIDDLE POPO AGIE RIVER IN LANDER, WY",Stream,42.8486111,-108.7094444
USGS-431541110010501,Wyoming,"Green River at Union Pass Bridge, nr Cora, WY",Stream,43.2615083,-110.0179972
USGS-432211110264402,Wyoming,Granite Hot Springs Swimming Pool Outflow - G2,Stream,43.36960278,-110.4456278
USGS-440653110411201,Wyoming,Huckleberry Cr at Huckleberry HS inflow H-4,Stream,44.1146861,-110.6866833
USGS-442649109053201,Wyoming,"Sulphur Creek above Lakeview Creek, near Cody, WY",Stream,44.4469083,-109.0922611
USGS-442651109053301,Wyoming,"Sulphur Creek below Lakeview Creek, near Cody, WY",Stream,44.4474,-109.0924861
USGS-443126109050601,Wyoming,"Sulphur Creek at mouth, at Cody, WY",Stream,44.52383056,-109.0850194
USGS-443254109013701,Wyoming,"Cottonwood Creek at mouth, near Cody, WY",Stream,44.54820556,-109.0269917
USGS-443332108595001,Wyoming,"Sage Creek at mouth, near Cody, WY",Stream,44.5588861,-108.9971667
USGS-443353108593601,Wyoming,"Idaho Creek at mouth, near Cody, WY",Stream,44.56470556,-108.9934139
USGS-443437108581501,Wyoming,"Dry Creek at mouth, near Cody, WY",Stream,44.57688889,-108.9708333
USGS-443438108582301,Wyoming,"Dry Gulch at mouth, near Cody, WY",Stream,44.57727778,-108.9731389
USGS-443448108572701,Wyoming,"Rough Gulch at mouth, near Cody, WY",Stream,44.57998056,-108.9574583
USGS-443817108562701,Wyoming,"Iron Creek at mouth, near Ralston, WY",Stream,44.6379944,-108.9408222
USGS-443927108555301,Wyoming,"Buck Creek at mouth, near Ralston, WY",Stream,44.6575,-108.9313611
USGS-445015108105901,Wyoming,"Bighorn Lake below Willow Creek, near Kane, WY",Lake,44.8375,-108.1830556
USGS-445146108114701,Wyoming,"Bighorn Lake below Hwy 14A, near Kane, WY",Lake,44.86277778,-108.1963889
USGS-445220108120001,Wyoming,"Bighorn Lake at Shoshone River mouth, nr Kane, WY",Lake,44.8722222,-108.2
USGS-445341108105701,Wyoming,"Bighorn Lake above Mormon Point, near Kane, WY",Lake,44.8947222,-108.1825
USGS-445538108125201,Wyoming,"Bighorn Lake below John Blue Canyon, nr Lovell, WY",Lake,44.9271111,-108.2144167
USGS-445604108134201,Wyoming,"Bighorn Lake above The Narrows, near Lovell, WY",Lake,44.93452778,-108.2283056
USGS-445711108155201,Wyoming,"Bighorn Lake at Horseshoe Bend, near Lovell, WY",Lake,44.9530833,-108.2643889
USGS-445742108143001,Wyoming,"Bighorn Lake below Horseshoe Bend, near Lovell, WY",Lake,44.96166667,-108.2416667
USGS-445806108144501,Wyoming,"Bighorn Lake above Crooked Creek, near Lovell, WY",Lake,44.9683333,-108.2458333
USGS-445817108150601,Wyoming,"Bighorn Lake in Crooked Creek arm, near Lovell, WY",Lake,44.97138889,-108.2516667
USGS-445909110412301,Wyoming,"Gardner Riv at Boiling Riv conflu nr Mammoth, WY",Stream,44.9859444,-110.6896667
1119USBR_WQX-HUN002,Montana,Hungry Horse reservoir at Logbom,Stream,48.341,-114.008
1119USBR_WQX-HUN101,Montana,S F Flathead River at Gage below Dam,Stream,48.35666,-114.0377
1119USBR_WQX-JAC001,Wyoming,"JACKSON Lake,700 FT U/S OF DAM,SOUTHBANK",Lake,43.8566667,-110.59
1119USBR_WQX-JAC002,Wyoming,Signal Marina North,Lake,43.8466988,-110.6110001
1119USBR_WQX-JAC006,Wyoming,Colter South Dock,Lake,43.90044,-110.6445
1119USBR_WQX-JAC007,Wyoming,Colter North Dock,Lake,43.90189297,-110.6448161
1119USBR_WQX-JAC011,Wyoming,Leeks Marina North,Lake,43.9332008,-110.6429977
1119USBR_WQX-JAC014,Wyoming,Inlet Arizona Island,Lake,43.94175,-110.6923
1119USBR_WQX-JAC015,Wyoming,Moran Bay,Lake,43.85860214,-110.7175215
1119USBR_WQX-JAC101,Wyoming,SNAKE R BELOW JACKSON LK DAM,Stream,43.8591667,-110.5897222
1119USBR_WQX-MIN001,Wyoming,GRASSY 100M ABOVE DAM,Lake,44.1291667,-110.815
1119USBR_WQX-MIN101,Wyoming,GRASSY CK AT GRASSY OUTLET WORKS,Stream,44.1305556,-110.8191667
11NPSWRD_WQX-BICA_BHR1,Montana,Bighorn River near St. Xavier,Stream,45.3166263,-107.9187211
11NPSWRD_WQX-BICA_BHR2,Wyoming,Bighorn River at Kane,Stream,44.7585662,-108.1814972
11NPSWRD_WQX-BICA_LCR2,Montana,Layout Creek below road,Stream,45.0771779,-108.2508659
11NPSWRD_WQX-BICA_MIDDLE_LAYOUT,Montana,Middle Layout - LCR1.5,Stream,45.092,-108.28436
11NPSWRD_WQX-BICA_SHR1,Wyoming,Shoshone River at Kane,Stream,44.8585649,-108.3317818
11NPSWRD_WQX-GRTE_BCPL,Wyoming,Beaver Creek Powerlines,Stream,43.68958142,-110.7349134
11NPSWRD_WQX-GRTE_BCSH,Wyoming,Beaver Creek North of Shade House,Stream,43.69030679,-110.7380462
11NPSWRD_WQX-GRTE_BCTPR,Wyoming,Beaver Creek at Teton Park Road,Stream,43.68671091,-110.731464
11NPSWRD_WQX-GRTE_CBSB,Wyoming,Colter Bay Swim Beach,Lake,43.9058365,-110.6477577
11NPSWRD_WQX-GRTE_CC,Wyoming,Cottonwood Creek,Stream,43.67656606,-110.7061762
11NPSWRD_WQX-GRTE_HC,Wyoming,Huckleberry Creek,Stream,44.11411288,-110.6854749
11NPSWRD_WQX-GRTE_JLO,Wyoming,Jenny Lake Outlet,Lake,43.75148506,-110.7256868
11NPSWRD_WQX-GRTE_LCBL,Wyoming,Lizard Creek Boat Launch,Lake,44.00136411,-110.6915917
11NPSWRD_WQX-GRTE_PC,Wyoming,Polecat Creek,Stream,44.10916143,-110.6846619
11NPSWRD_WQX-GRTE_PLJR,Wyoming,Phelps Lake Jump Rock,Lake,43.64846356,-110.7932592
11NPSWRD_WQX-GRTE_SLBL,Wyoming,String Lake Boat Launch,Lake,43.78546978,-110.731137
11NPSWRD_WQX-GRTE_SLSB,Wyoming,String Lake Swim Beach,Lake,43.78899002,-110.7318665
11NPSWRD_WQX-GRTE_SMM,Wyoming,Signal Mountain Marina,Lake,43.84408823,-110.6125753
11NPSWRD_WQX-GRTE_SMSB,Wyoming,Signal Mountain Swim Beach,Lake,43.8386192,-110.6169339
11NPSWRD_WQX-GRTE_SNR01,Wyoming,Snake River at Old Flagg Ranch 1000' Below Bridge,Stream,44.1017725,-110.6715533
11NPSWRD_WQX-GRTE_SNR02,Wyoming,Snake River Below Site of New Visitor's Center,Stream,43.65261,-110.71586
11NPSWRD_WQX-GRTE_TC,Wyoming,Taggart Creek,Stream,43.69352655,-110.732061
11NPSWRD_WQX-ROMN_GLAC_013,Montana,North Fork Flathead River Glacier Rim,Stream,48.4845,-114.102
11NPSWRD_WQX-ROMN_GLAC_022,Montana,North Fork Flathead River Border,Stream,48.9941,-114.466
11NPSWRD_WQX-ROMN_GLAC_S01,Montana,Swiftcurrent Creek,Stream,48.7953,-113.681
11NPSWRD_WQX-ROMN_GLAC_S04,Montana,Reynolds Creek,Stream,48.6912,-113.717
11NPSWRD_WQX-ROMN_GLAC_S05,Montana,Ole Creek,Stream,48.307,-113.484
11NPSWRD_WQX-ROMN_GLAC_S06,Montana,Lower Middle Fork Flathead River,Stream,48.4855,-114.034
