OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MT,USGS Montana Water Science Center,USGS-06191820,Big Cr at Kendall Bridge nr Emigrant MT,Stream,,10070002,,,,,45.30576810000000,-110.8482730000000,24000,.5,seconds,Interpolated from MAP.,NAD83,5044,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,067,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06192980,"Shields River ab Smith Cr, nr Wilsall, MT",Stream,,10070003,53.9,sq mi,,,46.16716110000000,-110.5542861000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,5747,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,067,,,,,20180821,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06306300,Tongue River at State Line nr Decker MT,Stream,,10090101,1451,sq mi,,,45.00913610000000,-106.8359444000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,3429,feet,.01,feet,Interpolated from topographic map.,NGVD29,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06307500,Tongue River at Tongue R Dam nr Decker MT,Stream,,10090101,1783,sq mi,,,45.14127500000000,-106.7713556000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,3344.4,feet,.1,feet,Level or other surveyed method.,NGVD29,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06324500,Powder River at Moorhead MT,Stream,,10090207,8029,sq mi,,,45.05719720000000,-105.8783778000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,3350.60,feet,5,feet,Interpolated from topographic map.,NGVD29,US,30,075,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06329500,Yellowstone River near Sidney MT,Stream,,10100004,69099,sq mi,68407,sq mi,47.67741389000000,-104.1554111000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,1881.30,feet,1,feet,Interpolated from topographic map.,NGVD29,US,30,083,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12300110,Lake Koocanusa at international boundary,"Lake, Reservoir, Impoundment",,17010101,,,,,48.98963056000000,-115.1809694000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2463,feet,25,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12301250,"Tobacco River at Eureka, MT",Stream,,17010101,396.2,sq mi,,,48.87794720000000,-115.0544610000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,2555.12,feet,0.2,feet,Differentially corrected Global Positioning System.,NAVD88,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12301600,Lake Koocanusa bl Pinkham Cr nr Rexford MT,"Lake, Reservoir, Impoundment",,17010101,,,,,48.82690610000000,-115.2671173000000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,2463,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12301830,Lake Koocanusa at Tenmile Cr nr Libby MT,"Lake, Reservoir, Impoundment",,17010101,,,,,48.58495918000000,-115.2321101000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12301919,"Lake Koocanusa at forebay, nr Libby, MT","Lake, Reservoir, Impoundment",,17010101,,,,,48.41408330000000,-115.3083056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2412,feet,50,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12301933,Kootenai River bl Libby Dam nr Libby MT,Stream,,17010101,8999,sq mi,,,48.40066389000000,-115.3187194000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,2100,feet,1,feet,Interpolated from topographic map.,NGVD29,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12302055,Fisher River near Libby MT,Stream,,17010102,842,sq mi,,,48.35560278000000,-115.3146500000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,2134.1,feet,.1,feet,Level or other surveyed method.,NGVD29,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12303500,Lake Creek at Troy MT,Stream,,17010101,204,sq mi,,,48.44686110000000,-115.8771360000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,1900,feet,100,feet,Interpolated from topographic map.,NGVD29,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12304500,Yaak River near Troy MT,Stream,,17010103,792,sq mi,,,48.56172220000000,-115.9701583000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,1839,feet,1,feet,Level or other surveyed method.,NGVD29,US,30,053,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323230,Blacktail C at Harrison Avenue at Butte MT,Stream,,17010201,81.9,sq mi,,,45.98520426000000,-112.5080764000000,,1,seconds,Interpolated from MAP.,NAD83,5455,feet,20,feet,Interpolated from topographic map.,NGVD29,US,30,093,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",Stream,,17010201,90.1,sq mi,,,45.99126940000000,-112.5273583000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5457,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,093,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323242,"Silver Bow Creek at Montana Street, at Butte, MT",Stream,,17010201,116,sq mi,,,45.99572778000000,-112.5387610000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5449,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,093,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323250,"Silver Bow Cr bl Blacktail Cr, at Butte, MT",Stream,,17010201,124.75,sq mi,,,45.99657500000000,-112.5634889000000,,.5,seconds,Interpolated from Digital MAP.,NAD83,5409.47,feet,.01,feet,Level or other surveyed method.,NGVD29,US,30,093,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323600,Silver Bow Creek at Opportunity MT,Stream,,17010201,343,sq mi,,,46.10775830000000,-112.8052833000000,62500,.1,seconds,Interpolated from Digital MAP.,NAD83,4912,feet,2,feet,Interpolated from topographic map.,NGVD29,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323670,"Mill Creek nr Anaconda, MT",Stream,,17010201,39.5,sq mi,,,46.08297220000000,-112.9171889000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,5470,feet,5,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323700,"Mill Creek at Opportunity, MT",Stream,,17010201,42.5,sq mi,,,46.11437778000000,-112.8197750000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,04940,feet,10,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323710,"Willow Creek nr Anaconda, MT",Stream,,17010201,13.7,sq mi,,,46.06451110000000,-112.8935306000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,5190,feet,5,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323720,"Willow Creek at Opportunity, MT",Stream,,17010201,28.6,sq mi,,,46.10716389000000,-112.8106110000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4930,feet,10,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323750,Silver Bow Creek at Warm Springs MT,Stream,,17010201,473,sq mi,,,46.17949720000000,-112.7805610000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4787.95,feet,20,feet,Interpolated from topographic map.,NGVD29,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323760,Warm Springs Creek near Anaconda MT,Stream,,17010201,156,sq mi,,,46.13366667000000,-112.9031528000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,5150,feet,1,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323770,Warm Springs Creek at Warm Springs MT,Stream,,17010201,160,sq mi,,,46.18037500000000,-112.7850778000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4810.00,feet,10,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323800,Clark Fork near Galen MT,Stream,,17010201,656,sq mi,,,46.20824167000000,-112.7673500000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4749,feet,20,feet,Interpolated from topographic map.,NGVD29,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323840,Lost Creek near Anaconda MT,Stream,,17010201,26.5,sq mi,,,46.16132500000000,-112.8937972000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,5100,feet,5,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12323850,"Lost Creek near Galen, MT",Stream,,17010201,60.5,sq mi,,,46.21857220000000,-112.7741667000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4750,feet,10,feet,Interpolated from topographic map.,NAVD88,US,30,023,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12324200,Clark Fork at Deer Lodge MT,Stream,,17010201,1001,sq mi,,,46.39765000000000,-112.7425389000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4502.2,feet,1,feet,Interpolated from topographic map.,NGVD29,US,30,077,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12324400,Clark Fork ab Little Blackfoot R nr Garrison MT,Stream,,17010201,1130,sq mi,,,46.51091110000000,-112.7896860000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4350,feet,10,feet,Interpolated from topographic map.,NGVD29,US,30,077,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12324680,Clark Fork at Goldcreek MT,Stream,,17010201,1774,sq mi,,,46.58998889000000,-112.9287139000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,4172.8,feet,1,feet,Interpolated from topographic map.,NGVD29,US,30,077,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12331800,Clark Fork near Drummond MT,Stream,,17010202,2516,sq mi,,,46.71191389000000,-113.3307806000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,3810,feet,20,feet,Interpolated from topographic map.,NAVD88,US,30,039,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12334550,Clark Fork at Turah Bridge nr Bonner MT,Stream,,17010202,3657,sq mi,,,46.82591110000000,-113.8140306000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,3320,feet,20,feet,Interpolated from topographic map.,NAVD88,US,30,063,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12337900,North Fork Blackfoot River Bel Lake Cr nr Ovando,Stream,,17010203,,,,,47.10327410000000,-112.9603279000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,30,077,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12340000,Blackfoot River near Bonner MT,Stream,,17010203,2287,sq mi,,,46.89941110000000,-113.7563194000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,3344.76,feet,1,feet,Interpolated from topographic map.,NGVD29,US,30,063,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-12340500,Clark Fork above Missoula MT,Stream,,17010204,6021,sq mi,,,46.87676389000000,-113.9321194000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,3198.30,feet,20,feet,Interpolated from topographic map.,NGVD29,US,30,063,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450104108151501,"Bighorn Lake above Devil Canyon, near Warren, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.01777778000000,-108.2541667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3641,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,009,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450112108135801,"Bighorn Lake in Devil Canyon, near Warren, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.02000000000000,-108.2327778000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3641,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450248108140501,"Bighorn Lake below Booz Canyon, near Warren, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.04666667000000,-108.2347222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3641,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450311108133601,"Bighorn Lake above Layout Creek, near Warren, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.05305556000000,-108.2266667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3641,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,009,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450416108140101,"Bighorn Lake at Layout Creek mouth, nr Warren, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.07111110000000,-108.2336111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3641,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,009,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450538108125501,"Bighorn Lake at Barrys Landing, near Warren, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.09388889000000,-108.2152778000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3640,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450629108111401,"Bighorn Lk at Twentymile Cyn mouth, nr Ft Smith MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.10805556000000,-108.1872222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3640,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-450903108101001,"Bighorn Lake below Deadman Creek, nr Ft Smith, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.15083330000000,-108.1694444000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3643,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-451007108090601,"Bighorn Lake bl Templeton Creek, nr Ft Smith, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.16861110000000,-108.1516667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3643,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,003,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-451248108074201,"Bighorn Lake bl Dry Head Canyon, nr Ft Smith, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.21333330000000,-108.1283333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3643,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,009,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-451310108062301,"Bighorn Lake ab Big Bull Elk Cyn, nr Ft Smith, MT","Lake, Reservoir, Impoundment",,10080010,,,,,45.21944440000000,-108.1063889000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3643,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,009,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-451407108044001,"Bighorn Lk at Big Bull Elk Cyn mouth, nr Ft Smith","Lake, Reservoir, Impoundment",,10080010,,,,,45.23527778000000,-108.0777778000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3643,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,30,003,,,,,,,,,,NWIS
