SampleID,StationID,CollDate,TaxaID,N_Taxa,FFG,Habit,BCG_ATTR,TolVal,Phylum,SubPhylum,Class,SubClass,Order,Family,SubFamily,Tribe,Genus
Samp9162,FW08OK014,8/18/2008,Dubiraphia,1,CG,CN,4,4,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9162,FW08OK014,8/18/2008,Ephydridae,1,CG,BU,5,6,Arthropoda,,Insecta,,Diptera,Ephydridae,,,
Samp9162,FW08OK014,8/18/2008,Gomphidae,1,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9162,FW08OK014,8/18/2008,Progomphus,1,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9162,FW08OK014,8/18/2008,Nectopsyche,1,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9163,FW08OK017,6/22/2009,Corbicula,1,CF,BU,6,6,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculidae,,,
Samp9163,FW08OK017,6/22/2009,Cercobrachys,6,,,4,,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9163,FW08OK017,6/22/2009,Gillotia,3,,BU,,,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9163,FW08OK017,6/22/2009,Procladius,1,PR,SP,5,9,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9163,FW08OK017,6/22/2009,Progomphus,1,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9163,FW08OK017,6/22/2009,Homoeoneuria,1,CF;CG,BU,2,2,Arthropoda,,Insecta,,Ephemeroptera,Oligoneuriidae,,,
Samp9167,FW08OK027,8/17/2009,Procloeon,1,CG,SW,,9,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9167,FW08OK027,8/17/2009,Cercobrachys,1,,,4,,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9167,FW08OK027,8/17/2009,Dasyhelea,1,CG,SP,5,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Dasyheleinae,,
Samp9167,FW08OK027,8/17/2009,Chironomidae,2,CG,BU,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9167,FW08OK027,8/17/2009,Cladotanytarsus,1,CF,CB,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Lopescladius,285,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9167,FW08OK027,8/17/2009,Paratendipes,2,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Saetheria,2,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Dolichopodidae,3,PR,SP,,4,Arthropoda,,Insecta,,Diptera,Dolichopodidae,Dolichopodinae,,
Samp9167,FW08OK027,8/17/2009,Progomphus,1,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9169,FW08OK036,6/23/2009,Pisidiidae,10,CF,,4,6,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,,,
Samp9169,FW08OK036,6/23/2009,Sphaerium,1,CF;CG,BU,,6,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,,,
Samp9169,FW08OK036,6/23/2009,Hyalella,14,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9169,FW08OK036,6/23/2009,Baetidae,1,CG,SW,4,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9169,FW08OK036,6/23/2009,Fallceon,4,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9169,FW08OK036,6/23/2009,Paracloeodes,9,SC,SW,4,6,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9169,FW08OK036,6/23/2009,Caenis,114,CG,SP,4,7,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9169,FW08OK036,6/23/2009,Cercobrachys,10,,,4,,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9169,FW08OK036,6/23/2009,Calopterygidae,1,PR,CB,4,5,Arthropoda,,Insecta,,Odonata,Calopterygidae,,,
Samp9169,FW08OK036,6/23/2009,Hetaerina,2,PR,CB,4,6,Arthropoda,,Insecta,,Odonata,Calopterygidae,,,
Samp9169,FW08OK036,6/23/2009,Ceratopogonidae,1,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,,,
Samp9169,FW08OK036,6/23/2009,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Dicrotendipes,1,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Labrundinia,1,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9169,FW08OK036,6/23/2009,Nanocladius,1,CG,SP,4,3,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9169,FW08OK036,6/23/2009,Pentaneura,4,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9169,FW08OK036,6/23/2009,Polypedilum,8,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Rheotanytarsus,4,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Saetheria,2,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Tanytarsus,17,CG,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Thienemannimyia genus gr.,5,,,4,,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9169,FW08OK036,6/23/2009,Argia,1,PR,CN,4,7,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,
Samp9169,FW08OK036,6/23/2009,Dubiraphia,2,CG,CN,4,4,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9169,FW08OK036,6/23/2009,Stenelmis,1,SC,CN,4,7,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9169,FW08OK036,6/23/2009,Erpetogomphus,1,PR,BU,4,4,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9169,FW08OK036,6/23/2009,Gomphidae,5,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9169,FW08OK036,6/23/2009,Berosus,2,CG,SW,4,5,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,Berosinae,,
Samp9169,FW08OK036,6/23/2009,Hydroptila,8,SC,CN,4,6,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9169,FW08OK036,6/23/2009,Hydroptilidae,7,SC,CN,4,4,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,,,
Samp9169,FW08OK036,6/23/2009,Nectopsyche,31,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9169,FW08OK036,6/23/2009,Tricorythodes,22,CG,SP,4,5,Arthropoda,,Insecta,,Ephemeroptera,Leptohyphidae,,,
Samp9169,FW08OK036,6/23/2009,Homoeoneuria,6,CF;CG,BU,2,2,Arthropoda,,Insecta,,Ephemeroptera,Oligoneuriidae,,,
Samp9169,FW08OK036,6/23/2009,Scirtidae,2,SC,CB,4,4,Arthropoda,,Insecta,,Coleoptera,Scirtidae,,,
Samp9169,FW08OK036,6/23/2009,Stratiomyidae,1,CG,SP,,8,Arthropoda,,Insecta,,Diptera,Stratiomyidae,,,
Samp9170,FW08OK039,7/13/2009,Physa,1,SC,,5,8,Mollusca,,Gastropoda,,Basommatophora,Physidae,,,
Samp9170,FW08OK039,7/13/2009,Chernovskiia,1,,,,,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9170,FW08OK039,7/13/2009,Gillotia,1,,BU,,,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9170,FW08OK039,7/13/2009,Rheotanytarsus,1,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9170,FW08OK039,7/13/2009,Gomphidae,1,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9176,FW08OK053,5/19/2009,Paracloeodes,1,SC,SW,4,6,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9176,FW08OK053,5/19/2009,Chironomidae,1,CG,BU,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9176,FW08OK053,5/19/2009,Cricotopus/orthocladius,3,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9176,FW08OK053,5/19/2009,Lopescladius,1,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9176,FW08OK053,5/19/2009,Saetheria,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9176,FW08OK053,5/19/2009,Progomphus,4,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9190,FW08WA036,9/25/2009,Hygrobates,2,PR,,4,,Arthropoda,,Arachnida,,Trombidiformes,Hygrobatidae,,,
Samp9195,CAR9-0910,6/17/2014,Corbicula,13,CF,BU,6,6,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculidae,,,
Samp9195,CAR9-0910,6/17/2014,Hygrobates,1,PR,,4,,Arthropoda,,Arachnida,,Trombidiformes,Hygrobatidae,,,
Samp9195,CAR9-0910,6/17/2014,Lebertia,2,PR,,4,8,Arthropoda,,Arachnida,Acarina,Acariformes,Lebertiidae,,,
Samp9195,CAR9-0910,6/17/2014,Limnesia,1,,,4,,Arthropoda,,Arachnida,,Trombidiformes,Limnesiidae,,,
Samp9195,CAR9-0910,6/17/2014,Sperchon,1,PR,,4,8,Arthropoda,,Arachnida,Acarina,Acariformes,Sperchonidae,,,
Samp9195,CAR9-0910,6/17/2014,Hyalella,2,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9195,CAR9-0910,6/17/2014,Baetidae,5,CG,SW,4,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Centroptilum,36,CG,CN,,2,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Fallceon,2,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Paracloeodes,116,SC,SW,4,6,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Ablabesmyia,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9195,CAR9-0910,6/17/2014,Chironomidae,9,CG,BU,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9195,CAR9-0910,6/17/2014,Cladotanytarsus,83,CF,CB,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9195,CAR9-0910,6/17/2014,Cricotopus/orthocladius,2,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9195,CAR9-0910,6/17/2014,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9195,CAR9-0910,6/17/2014,Dicrotendipes,15,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9195,CAR9-0910,6/17/2014,Polypedilum,1,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9195,CAR9-0910,6/17/2014,Procladius,1,PR,SP,5,9,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9195,CAR9-0910,6/17/2014,Coenagrionidae,2,PR,CB,4,9,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,
Samp9195,CAR9-0910,6/17/2014,Tricorythodes,6,CG,SP,4,5,Arthropoda,,Insecta,,Ephemeroptera,Leptohyphidae,,,
Samp9201,KSR9-0912,7/22/2013,Tubificidae,3,CG,BU,5,10,Annelida,,Oligochaeta,Oligochaeta,Haplotaxida,Tubificidae,,,
Samp9201,KSR9-0912,7/22/2013,Arachnida,1,,,4,,Arthropoda,,Arachnida,,,,,,
Samp9201,KSR9-0912,7/22/2013,Centroptilum,1,CG,CN,,2,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9201,KSR9-0912,7/22/2013,Caenis,15,CG,SP,4,7,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9201,KSR9-0912,7/22/2013,Cercobrachys,4,,,4,,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9201,KSR9-0912,7/22/2013,Ceratopogonidae,1,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,,,
Samp9201,KSR9-0912,7/22/2013,Ceratopogoninae,1,PR,BU,4,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Ceratopogoninae,,
Samp9201,KSR9-0912,7/22/2013,Dasyhelea,9,CG,SP,5,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Dasyheleinae,,
Samp9201,KSR9-0912,7/22/2013,Chironomidae,1,CG,BU,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9201,KSR9-0912,7/22/2013,Cladotanytarsus,8,CF,CB,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Coelotanypus,1,PR,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9201,KSR9-0912,7/22/2013,Corynoneura,1,CG,SP,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9201,KSR9-0912,7/22/2013,Cricotopus/orthocladius,2,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9201,KSR9-0912,7/22/2013,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Cryptotendipes,1,CG,BU,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Dicrotendipes,1,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Lopescladius,41,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9201,KSR9-0912,7/22/2013,Nanocladius,2,CG,SP,4,3,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9201,KSR9-0912,7/22/2013,Paracladopelma,2,CG,SP,4,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Paratendipes,3,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Polypedilum,23,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Procladius,2,PR,SP,5,9,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9201,KSR9-0912,7/22/2013,Pseudochironomus,2,CG,BU,4,5,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Rheotanytarsus,10,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Saetheria,18,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Stenochironomus,1,CG;SH,BU,4,5,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Tanypus,3,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9201,KSR9-0912,7/22/2013,Tanytarsus,118,CG,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9201,KSR9-0912,7/22/2013,Thienemanniella,1,CG,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9201,KSR9-0912,7/22/2013,Thienemannimyia genus gr.,3,,,4,,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9201,KSR9-0912,7/22/2013,Ephydridae,1,CG,BU,5,6,Arthropoda,,Insecta,,Diptera,Ephydridae,,,
Samp9201,KSR9-0912,7/22/2013,Gomphidae,2,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
